trial_id,pair_id,trial_number,condition,target_word,duration,clue_giver_start,elapsed_duration,success_duration,success_text_raw,time_to_success,clue_giver_leak,clue_giver_leak_time,success,note
115_215_29_1_20250115_162702_birthday_ground,115_215,29,ground,birthday,9.264761904761905,1.09,8.174761904761905,True,True,5.601,False,,True,
115_215_30_1_20250115_162711_jungle_ground,115_215,30,ground,jungle,7.546485260770975,1.472,6.074485260770976,True,True,3.571,False,,True,
115_215_31_1_20250115_162719_pasta_ground,115_215,31,ground,pasta,7.523265306122449,1.89,5.633265306122449,True,True,2.9400000000000004,False,,True,
115_215_32_1_20250115_162740_leather_ground,115_215,32,ground,leather,19.59764172335601,1.065,18.532641723356008,True,True,15.590000000000002,False,,True,
115_215_34_1_20250115_162815_blanket_board,115_215,34,board,blanket,9.102222222222222,1.448,7.654222222222222,True,True,5.698,False,,True,
115_215_35_1_20250115_162826_tiger_board,115_215,35,board,tiger,10.518639455782314,2.642,7.876639455782314,True,True,5.938000000000001,False,,True,
115_215_36_1_20250115_162937_bitter_board,115_215,36,board,bitter,69.96172335600907,1.634,68.32772335600907,False,False,,False,,False,
115_215_37_1_20250115_163015_river_board,115_215,37,board,river,29.32680272108843,1.829,27.49780272108843,True,True,23.037,True,21.742,True,
115_215_38_1_20250115_163038_bacon_board,115_215,38,board,bacon,21.826757369614512,0.0,21.826757369614512,True,True,19.579,False,,True,
115_215_39_1_20250115_163049_siren_board,115_215,39,board,siren,10.170340136054422,2.042,8.128340136054423,True,True,5.476,False,,True,
115_215_40_1_20250115_163058_doughnut_board,115_215,40,board,doughnut,7.801904761904762,1.834,5.967904761904762,True,True,4.186999999999999,False,,True,
115_215_41_1_20250115_163119_balloon_board,115_215,41,board,balloon,19.481541950113375,1.858,17.623541950113374,True,True,15.602,False,,True,
115_215_42_1_20250115_163149_traffic_board,115_215,42,board,traffic,29.60544217687075,1.262,28.34344217687075,True,True,26.313,False,,True,
115_215_43_1_20250115_163208_soda_board,115_215,43,board,soda,17.972244897959182,1.539,16.43324489795918,True,True,13.215,False,,True,
115_215_45_1_20250115_163239_puppy_board,115_215,45,board,puppy,7.569705215419501,1.094,6.4757052154195005,True,True,4.4879999999999995,False,,True,
115_215_46_1_20250115_163246_sushi_board,115_215,46,board,sushi,6.873106575963718,1.026,5.847106575963719,True,False,,False,,False,
115_215_47_1_20250115_163258_zipper_board,115_215,47,board,zipper,11.284897959183674,1.026,10.258897959183674,True,True,7.902000000000001,False,,True,
115_215_48_1_20250115_163319_hamster_board,115_215,48,board,hamster,20.154920634920636,1.734,18.420920634920634,True,True,15.328000000000001,False,,True,
115_215_49_1_20250115_163406_hunger_board,115_215,49,board,hunger,45.627210884353744,1.078,44.54921088435374,True,True,42.221999999999994,False,,True,
115_215_50_1_20250115_163425_sugar_board,115_215,50,board,sugar,13.49079365079365,1.282,12.20879365079365,True,True,10.332,False,,True,
115_215_51_1_20250115_163438_yellow_board,115_215,51,board,yellow,13.281814058956916,0.93,12.351814058956917,True,False,,True,6.838,False,clue_giver_leak_no_guesser_success
115_215_52_1_20250115_163451_exam_board,115_215,52,board,exam,11.633197278911563,0.942,10.691197278911563,True,True,8.668,False,,True,
115_215_53_1_20250115_163459_trumpet_board,115_215,53,board,trumpet,7.012426303854875,1.058,5.954426303854875,True,True,2.745,False,,True,
115_215_54_1_20250115_163509_picture_board,115_215,54,board,picture,8.498503401360544,0.93,7.568503401360545,True,True,5.489,False,,True,
116_216_12_1_20250116_102514_butter_board,116_216,12,board,butter,7.244625850340136,3.712,3.532625850340136,True,True,1.5559999999999996,False,,True,
116_216_13_1_20250116_102527_traffic_board,116_216,13,board,traffic,11.54031746031746,4.7,6.84031746031746,True,True,3.448999999999999,False,,True,
116_216_14_1_20250116_102556_picture_board,116_216,14,board,picture,28.5837641723356,2.411,26.172764172335597,True,True,24.073999999999998,False,,True,
116_216_15_1_20250116_102602_siren_board,116_216,15,board,siren,5.317369614512471,1.132,4.185369614512472,True,True,1.909,False,,True,
116_216_16_1_20250116_102611_pasta_board,116_216,16,board,pasta,7.918004535147392,0.732,7.186004535147392,True,True,5.3149999999999995,False,,True,
116_216_17_1_20250116_102622_yellow_board,116_216,17,board,yellow,10.170340136054422,1.722,8.448340136054423,True,True,6.257,False,,True,
116_216_18_1_20250116_102638_hunger_board,116_216,18,board,hunger,15.32517006802721,2.599,12.72617006802721,True,True,10.486,False,,True,
116_216_19_1_20250116_102654_leather_board,116_216,19,board,leather,14.883990929705217,1.762,13.121990929705216,True,True,10.995,False,,True,
116_216_20_1_20250116_102710_pillow_board,116_216,20,board,pillow,14.86077097505669,1.378,13.48277097505669,True,True,11.518,False,,True,
116_216_21_1_20250116_102716_muscle_board,116_216,21,board,muscle,4.342131519274377,0.988,3.3541315192743766,True,True,1.495,False,,True,
116_216_23_1_20250116_102753_doughnut_ground,116_216,23,ground,doughnut,11.284897959183674,0.898,10.386897959183674,True,True,8.253,False,,True,
116_216_24_1_20250116_102808_bacon_ground,116_216,24,ground,bacon,13.653333333333334,1.154,12.499333333333334,True,True,10.515,False,,True,
116_216_25_1_20250116_102832_puppy_ground,116_216,25,ground,puppy,22.453696145124717,0.994,21.459696145124717,True,True,19.478,False,,True,
116_216_26_1_20250116_102855_sugar_ground,116_216,26,ground,sugar,22.360816326530617,1.474,20.886816326530617,True,True,18.951,False,,True,
116_216_27_1_20250116_102911_zipper_ground,116_216,27,ground,zipper,15.81278911564626,1.11,14.70278911564626,True,True,12.611,False,,True,
116_216_28_1_20250116_102950_cologne_ground,116_216,28,ground,cologne,37.871746031746035,2.969,34.902746031746034,True,True,32.684,False,,True,
116_216_29_1_20250116_103005_hamster_ground,116_216,29,ground,hamster,13.862312925170068,1.444,12.418312925170067,True,True,10.341999999999999,False,,True,
116_216_30_1_20250116_103021_tiger_ground,116_216,30,ground,tiger,15.162630385487528,1.186,13.976630385487528,True,True,11.788,False,,True,
116_216_31_1_20250116_103035_chlorine_ground,116_216,31,ground,chlorine,13.188934240362812,1.532,11.656934240362812,True,True,9.366,False,,True,
116_216_32_1_20250116_103144_walnut_ground,116_216,32,ground,walnut,68.05768707482993,1.108,66.94968707482992,False,False,,False,,False,
116_216_34_1_20250116_103225_flower_ground,116_216,34,ground,flower,10.379319727891156,2.626,7.7533197278911565,True,True,5.724,False,,True,
116_216_35_1_20250116_103333_flannel_ground,116_216,35,ground,flannel,66.40907029478458,1.353,65.05607029478459,False,False,,False,,False,
116_216_36_1_20250116_103426_jungle_ground,116_216,36,ground,jungle,27.538866213151927,1.602,25.936866213151927,True,True,23.826999999999998,False,,True,
116_216_37_1_20250116_103447_beauty_ground,116_216,37,ground,beauty,20.410340136054423,1.489,18.921340136054422,True,True,10.225999999999999,False,,True,
116_216_38_1_20250116_103502_coffee_ground,116_216,38,ground,coffee,14.071292517006803,1.187,12.884292517006804,True,True,10.578000000000001,False,,True,
116_216_39_1_20250116_103539_birthday_ground,116_216,39,ground,birthday,36.78040816326531,1.218,35.5624081632653,True,True,33.771,False,,True,
116_216_40_1_20250116_103547_music_ground,116_216,40,ground,music,6.3854875283446715,1.164,5.221487528344672,True,True,3.1930000000000005,False,,True,
116_216_41_1_20250116_103635_soda_ground,116_216,41,ground,soda,46.32380952380952,1.41,44.913809523809526,True,True,42.378,False,,True,
116_216_42_1_20250116_103705_exam_ground,116_216,42,ground,exam,29.41968253968254,1.308,28.11168253968254,True,True,25.119,False,,True,
116_216_43_1_20250116_103720_bitter_ground,116_216,43,ground,bitter,14.257052154195012,0.706,13.551052154195013,True,True,11.108,False,,True,
